2025-12-02 18:43:20,915 INFO    MainThread:11506 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_setup.py:_flush():80] Configure stats pid to 11506
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_setup.py:_flush():80] Loading settings from /teamspace/studios/this_studio/.config/wandb/settings
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_setup.py:_flush():80] Loading settings from /teamspace/studios/this_studio/diffusion_tobeused/wandb/settings
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /teamspace/studios/this_studio/diffusion_tobeused/wandb/run-20251202_184320-uny21u4r/logs/debug.log
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /teamspace/studios/this_studio/diffusion_tobeused/wandb/run-20251202_184320-uny21u4r/logs/debug-internal.log
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_init.py:init():840] calling init triggers
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-02 18:43:20,916 INFO    MainThread:11506 [wandb_init.py:init():888] starting backend
2025-12-02 18:43:21,154 INFO    MainThread:11506 [wandb_init.py:init():891] sending inform_init request
2025-12-02 18:43:21,158 INFO    MainThread:11506 [wandb_init.py:init():899] backend started and connected
2025-12-02 18:43:21,159 INFO    MainThread:11506 [wandb_init.py:init():969] updated telemetry
2025-12-02 18:43:21,166 INFO    MainThread:11506 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-12-02 18:43:21,666 INFO    MainThread:11506 [wandb_init.py:init():1040] starting run threads in backend
2025-12-02 18:43:21,799 INFO    MainThread:11506 [wandb_run.py:_console_start():2504] atexit reg
2025-12-02 18:43:21,799 INFO    MainThread:11506 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-12-02 18:43:21,799 INFO    MainThread:11506 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-12-02 18:43:21,800 INFO    MainThread:11506 [wandb_run.py:_redirect():2444] Redirects installed.
2025-12-02 18:43:21,802 INFO    MainThread:11506 [wandb_init.py:init():1080] run started, returning control to user process
2025-12-02 18:50:12,219 INFO    wandb-AsyncioManager-main:11506 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-02 18:50:12,219 INFO    wandb-AsyncioManager-main:11506 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
